ID,Name,"Mini Description",Description,SKU,Price,"Compare Price","Price After Sale","On Sale",Stock,Category,Subcategory,"Image Name","All Images",Active,Featured,"Created At"
1,"iPhone 15 Pro Max 256GB","Apple's flagship with A17 Pro chip, titanium design, and 48MP camera system.","Apple's flagship with A17 Pro chip, titanium design, and 48MP camera system.",PHN-2C6705,1399,,1399,No,25,Electronics,Smartphones,iphone-15-pro-max-256gb.webp,iphone-15-pro-max-256gb.webp,Yes,Yes,"2026-01-08 13:36:09"
2,"Samsung Galaxy S24 Ultra","AI-powered Galaxy with S Pen, 200MP camera, and Snapdragon 8 Gen 3.","AI-powered Galaxy with S Pen, 200MP camera, and Snapdragon 8 Gen 3.",PHN-KI4560,1299,1850,1299,Yes,18,Electronics,Smartphones,samsung-galaxy-s24-ultra.webp,samsung-galaxy-s24-ultra.webp,Yes,Yes,"2026-01-08 13:36:09"
3,"Xiaomi 14 Pro","Leica optics, Snapdragon 8 Gen 3, and 120W HyperCharge.","Leica optics, Snapdragon 8 Gen 3, and 120W HyperCharge.",PHN-CD2223,799,1780,799,Yes,35,Electronics,Smartphones,xiaomi-14-pro.webp,xiaomi-14-pro.webp,Yes,No,"2026-01-08 13:36:09"
4,"HUAWEI Mate 60 Pro","Satellite calling, Kirin 9000S chip, and variable aperture camera.","Satellite calling, Kirin 9000S chip, and variable aperture camera.",PHN-IO2800,999,,999,No,12,Electronics,Smartphones,huawei-mate-60-pro.webp,huawei-mate-60-pro.webp,Yes,No,"2026-01-08 13:36:09"
5,"OPPO Reno 11 Pro","Portrait expert with Hasselblad color science and 80W fast charging.","Portrait expert with Hasselblad color science and 80W fast charging.",PHN-JT3804,549,915,549,Yes,42,Electronics,Smartphones,oppo-reno-11-pro.webp,oppo-reno-11-pro.webp,Yes,No,"2026-01-08 13:36:09"
6,"Google Pixel 8 Pro","Best-in-class AI photography with Tensor G3 chip and 7 years of updates.","Best-in-class AI photography with Tensor G3 chip and 7 years of updates.",PHN-CV3770,999,1430,999,Yes,20,Electronics,Smartphones,google-pixel-8-pro.webp,google-pixel-8-pro.webp,Yes,Yes,"2026-01-08 13:36:09"
7,"OnePlus 12","Flagship killer with Snapdragon 8 Gen 3 and 100W SUPERVOOC charging.","Flagship killer with Snapdragon 8 Gen 3 and 100W SUPERVOOC charging.",PHN-T59062,799,1140,799,Yes,28,Electronics,Smartphones,oneplus-12.webp,oneplus-12.webp,Yes,No,"2026-01-08 13:36:09"
8,"MacBook Pro 14"" M3 Pro","Apple silicon powerhouse with Liquid Retina XDR display and 18-hour battery.","Apple silicon powerhouse with Liquid Retina XDR display and 18-hour battery.",LAP-5H1415,1999,,1999,No,8,Electronics,Laptops,macbook-pro-14-m3-pro.webp,macbook-pro-14-m3-pro.webp,Yes,Yes,"2026-01-08 13:36:09"
9,"Dell XPS 15 (2024)","Intel Core Ultra, OLED display, and premium aluminum build.","Intel Core Ultra, OLED display, and premium aluminum build.",LAP-ZA6057,1599,2280,1599,Yes,15,Electronics,Laptops,dell-xps-15-2024.webp,dell-xps-15-2024.webp,Yes,Yes,"2026-01-08 13:36:09"
10,"ASUS ROG Strix G16","RTX 4070 gaming laptop with 165Hz display and RGB lighting.","RTX 4070 gaming laptop with 165Hz display and RGB lighting.",LAP-IY1708,1449,,1449,No,10,Electronics,Laptops,asus-rog-strix-g16.webp,asus-rog-strix-g16.webp,Yes,No,"2026-01-08 13:36:09"
11,"Lenovo ThinkPad X1 Carbon Gen 11","Business ultrabook with Intel vPro, 4G LTE, and legendary keyboard.","Business ultrabook with Intel vPro, 4G LTE, and legendary keyboard.",LAP-586226,1699,2430,1699,Yes,6,Electronics,Laptops,lenovo-thinkpad-x1-carbon-gen-11.webp,lenovo-thinkpad-x1-carbon-gen-11.webp,Yes,No,"2026-01-08 13:36:09"
12,"HP Pavilion 15","Affordable everyday laptop with Intel Core i5 and 512GB SSD.","Affordable everyday laptop with Intel Core i5 and 512GB SSD.",LAP-E53942,549,915,549,Yes,45,Electronics,Laptops,hp-pavilion-15.webp,hp-pavilion-15.webp,Yes,No,"2026-01-08 13:36:09"
13,"Microsoft Surface Laptop 5","Sleek design with PixelSense touchscreen and all-day battery life.","Sleek design with PixelSense touchscreen and all-day battery life.",LAP-ZN1703,1299,,1299,No,12,Electronics,Laptops,microsoft-surface-laptop-5.webp,microsoft-surface-laptop-5.webp,Yes,No,"2026-01-08 13:36:09"
14,"Acer Swift Go 14","Ultra-portable with Intel Core Ultra and stunning 2.8K OLED display.","Ultra-portable with Intel Core Ultra and stunning 2.8K OLED display.",LAP-LX2278,899,1500,899,Yes,22,Electronics,Laptops,acer-swift-go-14.webp,acer-swift-go-14.webp,Yes,No,"2026-01-08 13:36:09"
15,"Apple AirPods Pro 2nd Gen","Active noise cancellation, spatial audio, and USB-C charging case.","Active noise cancellation, spatial audio, and USB-C charging case.",ACC-HJ4908,249,,249,No,65,Electronics,Accessories,apple-airpods-pro-2nd-gen.webp,apple-airpods-pro-2nd-gen.webp,Yes,Yes,"2026-01-08 13:36:09"
16,"Samsung 25W USB-C Charger","Super fast charging adapter compatible with Galaxy devices.","Super fast charging adapter compatible with Galaxy devices.",ACC-RG6934,29,58,29,Yes,150,Electronics,Accessories,samsung-25w-usb-c-charger.webp,samsung-25w-usb-c-charger.webp,Yes,No,"2026-01-08 13:36:09"
17,"Anker PowerCore 20000mAh","High-capacity power bank with dual USB ports and fast charging.","High-capacity power bank with dual USB ports and fast charging.",ACC-F04878,59,150,59,Yes,85,Electronics,Accessories,anker-powercore-20000mah.webp,anker-powercore-20000mah.webp,Yes,No,"2026-01-08 13:36:09"
18,"Logitech MX Master 3S","Quiet clicks, 8K DPI sensor, and MagSpeed electromagnetic scrolling.","Quiet clicks, 8K DPI sensor, and MagSpeed electromagnetic scrolling.",ACC-T84438,99,165,99,Yes,40,Electronics,Accessories,logitech-mx-master-3s.webp,logitech-mx-master-3s.webp,Yes,Yes,"2026-01-08 13:36:09"
19,"JBL Tune 760NC Headphones","Wireless over-ear headphones with active noise cancelling and 50hr battery.","Wireless over-ear headphones with active noise cancelling and 50hr battery.",ACC-FJ6964,119,170,119,Yes,55,Electronics,Accessories,jbl-tune-760nc-headphones.webp,jbl-tune-760nc-headphones.webp,Yes,No,"2026-01-08 13:36:09"
20,"Apple Watch Series 9","Advanced health features with double tap gesture and brighter display.","Advanced health features with double tap gesture and brighter display.",ACC-IC3475,429,,429,No,30,Electronics,Accessories,apple-watch-series-9.webp,apple-watch-series-9.webp,Yes,Yes,"2026-01-08 13:36:09"
21,"La Roche-Posay Effaclar Duo","Dual action acne treatment for oily and blemish-prone skin.","Dual action acne treatment for oily and blemish-prone skin.",SKN-AL4609,28,70,28,Yes,75,Skincare,,la-roche-posay-effaclar-duo.webp,la-roche-posay-effaclar-duo.webp,Yes,No,"2026-01-08 13:36:09"
22,"CeraVe Moisturizing Cream","Rich cream with ceramides and hyaluronic acid for 24hr hydration.","Rich cream with ceramides and hyaluronic acid for 24hr hydration.",SKN-4P7657,19,48,19,Yes,110,Skincare,,cerave-moisturizing-cream.webp,cerave-moisturizing-cream.webp,Yes,Yes,"2026-01-08 13:36:09"
23,"The Ordinary Niacinamide 10%","Serum for reducing blemishes and balancing sebum.","Serum for reducing blemishes and balancing sebum.",SKN-1G6709,12,,12,No,95,Skincare,,the-ordinary-niacinamide-10.webp,the-ordinary-niacinamide-10.webp,Yes,No,"2026-01-08 13:36:09"
24,"Dead Sea Mud Mask","Authentic Jordan Dead Sea mud for deep pore cleansing.","Authentic Jordan Dead Sea mud for deep pore cleansing.",SKN-282747,24,40,24,Yes,60,Skincare,,dead-sea-mud-mask.webp,dead-sea-mud-mask.webp,Yes,Yes,"2026-01-08 13:36:09"
25,"Bioderma Sensibio H2O Micellar","Gentle makeup remover for sensitive skin, 500ml.","Gentle makeup remover for sensitive skin, 500ml.",SKN-6X1392,22,75,22,Yes,85,Skincare,,bioderma-sensibio-h2o-micellar.webp,bioderma-sensibio-h2o-micellar.webp,Yes,No,"2026-01-08 13:36:09"
26,"Minimalist Silver Bracelet","Elegant sterling silver bracelet with minimalist design. Adjustable chain length, hypoallergenic, perfect for everyday wear.","Elegant sterling silver bracelet with minimalist design. Adjustable chain length, hypoallergenic, perfect for everyday wear.",UG0-4357,18,,18,No,50,Fashion,"Women's Fashion",minimalist-silver-bracelet.webp,minimalist-silver-bracelet.webp,Yes,No,"2026-01-08 13:36:09"
27,"Canvas Tote Bag","Durable cotton canvas tote bag with inner pocket. Eco-friendly, reusable, great for shopping or daily use.","Durable cotton canvas tote bag with inner pocket. Eco-friendly, reusable, great for shopping or daily use.",WEG-4462,15,,15,No,60,Fashion,"Women's Fashion",canvas-tote-bag.webp,canvas-tote-bag.webp,Yes,No,"2026-01-08 13:36:09"
28,"Leather Belt","Classic genuine leather belt with brushed metal buckle. Available in multiple sizes, durable and stylish.","Classic genuine leather belt with brushed metal buckle. Available in multiple sizes, durable and stylish.",WOE-6269,22,40,22,Yes,40,Fashion,"Men's Fashion",leather-belt.webp,leather-belt.webp,Yes,No,"2026-01-08 13:36:09"
29,"Wool Beanie Hat","Soft merino wool beanie hat for winter. Warm, breathable, and comfortable fit for all head sizes.","Soft merino wool beanie hat for winter. Warm, breathable, and comfortable fit for all head sizes.",II9-4888,12,22,12,Yes,55,Fashion,"Men's Fashion",wool-beanie-hat.webp,wool-beanie-hat.webp,Yes,No,"2026-01-08 13:36:09"
30,"Electric Kettle 1.7L","Fast boiling electric kettle with auto shut-off and boil-dry protection. Stainless steel interior, BPA-free.","Fast boiling electric kettle with auto shut-off and boil-dry protection. Stainless steel interior, BPA-free.",YCF-5140,28,,28,No,35,"Home & Kitchen","Kitchen Appliances",electric-kettle-17l.webp,electric-kettle-17l.webp,Yes,No,"2026-01-08 13:36:09"
31,"Bamboo Cutting Board Set","Set of 3 organic bamboo cutting boards in different sizes. Knife-friendly surface, easy to clean, with juice grooves.","Set of 3 organic bamboo cutting boards in different sizes. Knife-friendly surface, easy to clean, with juice grooves.",NSD-3415,20,,20,No,40,"Home & Kitchen","Kitchen Appliances",bamboo-cutting-board-set.webp,bamboo-cutting-board-set.webp,Yes,No,"2026-01-08 13:36:09"
32,"Stainless Steel Knife Set","Professional 6-piece knife set with wooden block. High-carbon stainless steel blades, ergonomic handles.","Professional 6-piece knife set with wooden block. High-carbon stainless steel blades, ergonomic handles.",Y9Q-6705,35,60,35,Yes,25,"Home & Kitchen","Kitchen Appliances",stainless-steel-knife-set.webp,stainless-steel-knife-set.webp,Yes,No,"2026-01-08 13:36:09"
33,"Glass Food Storage Containers","Set of 5 borosilicate glass containers with airtight lids. Microwave, oven, freezer, and dishwasher safe.","Set of 5 borosilicate glass containers with airtight lids. Microwave, oven, freezer, and dishwasher safe.",IAO-6599,24,,24,No,30,"Home & Kitchen","Kitchen Appliances",glass-food-storage-containers.webp,glass-food-storage-containers.webp,Yes,No,"2026-01-08 13:36:09"
34,"Adjustable Dumbbell Set","Space-saving adjustable dumbbells from 2.5kg to 12.5kg each. Quick-change weight system, anti-slip grip.","Space-saving adjustable dumbbells from 2.5kg to 12.5kg each. Quick-change weight system, anti-slip grip.",DOL-7016,45,,45,No,20,Sports,"Fitness Equipment",adjustable-dumbbell-set.webp,adjustable-dumbbell-set.webp,Yes,No,"2026-01-08 13:36:09"
35,"Jump Rope","Speed jump rope with ball bearings for smooth rotation. Adjustable length, comfortable foam handles.","Speed jump rope with ball bearings for smooth rotation. Adjustable length, comfortable foam handles.",CWF-5649,8,,8,No,70,Sports,"Sports Gear",jump-rope.webp,jump-rope.webp,Yes,No,"2026-01-08 13:36:09"
36,"Sports Gym Bag","Large capacity gym bag with shoe compartment and wet pocket. Water-resistant fabric, adjustable shoulder strap.","Large capacity gym bag with shoe compartment and wet pocket. Water-resistant fabric, adjustable shoulder strap.",RMS-9773,25,55,25,Yes,35,Sports,"Fitness Equipment",sports-gym-bag.webp,sports-gym-bag.webp,Yes,No,"2026-01-08 13:36:09"
37,"Foam Roller","High-density foam roller for muscle recovery and massage. Textured surface for deep tissue relief, 45cm length.","High-density foam roller for muscle recovery and massage. Textured surface for deep tissue relief, 45cm length.",EOQ-4491,14,,14,No,45,Sports,"Fitness Equipment",foam-roller.webp,foam-roller.webp,Yes,No,"2026-01-08 13:36:09"
38,"Watercolor Paint Set","Professional watercolor set with 24 vibrant colors. Includes palette, brushes, and portable case.","Professional watercolor set with 24 vibrant colors. Includes palette, brushes, and portable case.",G79-9509,22,,22,No,30,Stationery,"School Supplies",watercolor-paint-set.webp,watercolor-paint-set.webp,Yes,No,"2026-01-08 13:36:09"
39,"Sticky Notes Variety Pack","Colorful sticky notes in various sizes and shapes. 500 sheets total, perfect for organization and reminders.","Colorful sticky notes in various sizes and shapes. 500 sheets total, perfect for organization and reminders.",SUZ-2161,8,,8,No,80,Stationery,"Office Supplies",sticky-notes-variety-pack.webp,sticky-notes-variety-pack.webp,Yes,No,"2026-01-08 13:36:09"
40,"Mechanical Pencil Set","Set of 4 mechanical pencils with different lead sizes (0.3, 0.5, 0.7, 0.9mm). Includes lead refills and erasers.","Set of 4 mechanical pencils with different lead sizes (0.3, 0.5, 0.7, 0.9mm). Includes lead refills and erasers.",ERP-1574,12,17,12,Yes,50,Stationery,"Office Supplies",mechanical-pencil-set.webp,mechanical-pencil-set.webp,Yes,No,"2026-01-08 13:36:09"
41,"A4 Sketchbook 100 Pages","Premium A4 sketchbook with 100 pages of acid-free paper. 160gsm weight, suitable for pencil, charcoal, and light markers.","Premium A4 sketchbook with 100 pages of acid-free paper. 160gsm weight, suitable for pencil, charcoal, and light markers.",JQ0-1779,10,,10,No,55,Stationery,"Office Supplies",a4-sketchbook-100-pages.webp,a4-sketchbook-100-pages.webp,Yes,No,"2026-01-08 13:36:09"
42,"Plush Teddy Bear","Soft and cuddly plush teddy bear, 30cm tall. Made with child-safe materials, machine washable.","Soft and cuddly plush teddy bear, 30cm tall. Made with child-safe materials, machine washable.",ZXJ-3574,16,,16,No,45,Kids,Toys,plush-teddy-bear.webp,plush-teddy-bear.webp,Yes,No,"2026-01-08 13:36:09"
43,"Kids Puzzle Set 100pc","Colorful 100-piece jigsaw puzzle with fun design. Large pieces for small hands, develops problem-solving skills.","Colorful 100-piece jigsaw puzzle with fun design. Large pieces for small hands, develops problem-solving skills.",Z4Q-6716,12,,12,No,40,Kids,Toys,kids-puzzle-set-100pc.webp,kids-puzzle-set-100pc.webp,Yes,No,"2026-01-08 13:36:09"
44,"Baby Sippy Cup","Spill-proof sippy cup with easy-grip handles. BPA-free, dishwasher safe, 240ml capacity. Ages 6+ months.","Spill-proof sippy cup with easy-grip handles. BPA-free, dishwasher safe, 240ml capacity. Ages 6+ months.",BKW-9554,8,20,8,Yes,60,Kids,Toys,baby-sippy-cup.webp,baby-sippy-cup.webp,Yes,No,"2026-01-08 13:36:09"
45,"Coloring Book Set","Set of 4 coloring books with crayons. Features animals, vehicles, nature, and characters. Ages 3+.","Set of 4 coloring books with crayons. Features animals, vehicles, nature, and characters. Ages 3+.",CP9-3514,10,20,10,Yes,50,Kids,Toys,coloring-book-set.webp,coloring-book-set.webp,Yes,No,"2026-01-08 13:36:09"
46,"Classic Leather Watch","Elegant unisex watch with genuine leather strap and minimalist dial design. Water-resistant up to 30m, perfect for everyday wear.","Elegant unisex watch with genuine leather strap and minimalist dial design. Water-resistant up to 30m, perfect for everyday wear.",OYL-1660,55,,55,No,30,Fashion,"Men's Fashion",classic-leather-watch.webp,classic-leather-watch.webp,Yes,No,"2026-01-08 13:36:09"
47,"Polarized Sunglasses","UV400 protection polarized sunglasses with lightweight frame. Reduces glare and protects your eyes in style.","UV400 protection polarized sunglasses with lightweight frame. Reduces glare and protects your eyes in style.",ILX-7246,30,,30,No,45,Fashion,"Men's Fashion",polarized-sunglasses.webp,polarized-sunglasses.webp,Yes,No,"2026-01-08 13:36:09"
48,"Leather Crossbody Bag","Compact genuine leather crossbody bag with adjustable strap. Multiple compartments for organized storage.","Compact genuine leather crossbody bag with adjustable strap. Multiple compartments for organized storage.",UNQ-3253,42,,42,No,25,Fashion,"Men's Fashion",leather-crossbody-bag.webp,leather-crossbody-bag.webp,Yes,No,"2026-01-08 13:36:09"
49,"Silk Scarf","Luxurious 100% silk scarf with elegant pattern. Versatile accessory for any outfit.","Luxurious 100% silk scarf with elegant pattern. Versatile accessory for any outfit.",WYC-3973,25,65,25,Yes,40,Fashion,"Women's Fashion",silk-scarf.webp,silk-scarf.webp,Yes,No,"2026-01-08 13:36:09"
50,"French Press Coffee Maker","Premium stainless steel French press with 1L capacity. Heat-resistant borosilicate glass for perfect coffee every time.","Premium stainless steel French press with 1L capacity. Heat-resistant borosilicate glass for perfect coffee every time.",68J-3465,25,45,25,Yes,35,"Home & Kitchen","Kitchen Appliances",french-press-coffee-maker.webp,french-press-coffee-maker.webp,Yes,No,"2026-01-08 13:36:09"
51,"Smart LED Desk Lamp","Touch-controlled LED desk lamp with adjustable brightness and color temperature. USB charging port included.","Touch-controlled LED desk lamp with adjustable brightness and color temperature. USB charging port included.",MPJ-3403,32,,32,No,28,"Home & Kitchen","Home Decor",smart-led-desk-lamp.webp,smart-led-desk-lamp.webp,Yes,No,"2026-01-08 13:36:09"
52,"Ceramic Cookware Set 5pc","Non-toxic ceramic coated cookware set. Includes frying pan, saucepan, and stockpot with lids. PFOA-free.","Non-toxic ceramic coated cookware set. Includes frying pan, saucepan, and stockpot with lids. PFOA-free.",ALE-9754,55,,55,No,20,"Home & Kitchen","Kitchen Appliances",ceramic-cookware-set-5pc.webp,ceramic-cookware-set-5pc.webp,Yes,No,"2026-01-08 13:36:09"
53,"Aromatherapy Diffuser","Ultrasonic essential oil diffuser with LED mood lighting. Quiet operation, auto shut-off, 300ml capacity.","Ultrasonic essential oil diffuser with LED mood lighting. Quiet operation, auto shut-off, 300ml capacity.",UMT-3675,22,34,22,Yes,42,"Home & Kitchen","Kitchen Appliances",aromatherapy-diffuser.webp,aromatherapy-diffuser.webp,Yes,No,"2026-01-08 13:36:09"
54,"Premium Yoga Mat 6mm","Eco-friendly TPE yoga mat with non-slip surface. 6mm thickness for joint protection. Includes carrying strap.","Eco-friendly TPE yoga mat with non-slip surface. 6mm thickness for joint protection. Includes carrying strap.",BHP-5545,18,,18,No,50,Sports,"Fitness Equipment",premium-yoga-mat-6mm.webp,premium-yoga-mat-6mm.webp,Yes,No,"2026-01-08 13:36:09"
55,"Resistance Bands Set","Set of 5 resistance bands with different strength levels. Includes door anchor, handles, and carrying bag.","Set of 5 resistance bands with different strength levels. Includes door anchor, handles, and carrying bag.",BX6-1298,15,43,15,Yes,60,Sports,"Fitness Equipment",resistance-bands-set.webp,resistance-bands-set.webp,Yes,No,"2026-01-08 13:36:09"
56,"Insulated Water Bottle 750ml","Double-wall vacuum insulated stainless steel bottle. Keeps drinks cold 24hrs or hot 12hrs. BPA-free.","Double-wall vacuum insulated stainless steel bottle. Keeps drinks cold 24hrs or hot 12hrs. BPA-free.",7YC-7390,16,,16,No,55,Sports,"Sports Gear",insulated-water-bottle-750ml.webp,insulated-water-bottle-750ml.webp,Yes,No,"2026-01-08 13:36:09"
57,"Foldable Camping Chair","Lightweight aluminum frame camping chair with cup holder. Supports up to 120kg. Includes carry bag.","Lightweight aluminum frame camping chair with cup holder. Supports up to 120kg. Includes carry bag.",7T6-1140,28,55,28,Yes,30,Sports,"Fitness Equipment",foldable-camping-chair.webp,foldable-camping-chair.webp,Yes,No,"2026-01-08 13:36:09"
58,"Leather Journal Notebook","Handcrafted genuine leather journal with 200 lined pages. A5 size with ribbon bookmark and elastic closure.","Handcrafted genuine leather journal with 200 lined pages. A5 size with ribbon bookmark and elastic closure.",UMN-1616,15,27,15,Yes,45,Stationery,"School Supplies",leather-journal-notebook.webp,leather-journal-notebook.webp,Yes,No,"2026-01-08 13:36:10"
59,"Premium Metal Pen Set","Elegant metal ballpoint pen set in gift box. Smooth writing experience with replaceable refills.","Elegant metal ballpoint pen set in gift box. Smooth writing experience with replaceable refills.",KAH-7798,20,,20,No,40,Stationery,"Office Supplies",premium-metal-pen-set.webp,premium-metal-pen-set.webp,Yes,No,"2026-01-08 13:36:10"
60,"Bamboo Desk Organizer","Eco-friendly bamboo desk organizer with multiple compartments. Perfect for pens, phone, and office supplies.","Eco-friendly bamboo desk organizer with multiple compartments. Perfect for pens, phone, and office supplies.",OEO-6302,24,,24,No,35,Stationery,"Office Supplies",bamboo-desk-organizer.webp,bamboo-desk-organizer.webp,Yes,No,"2026-01-08 13:36:10"
61,"Arabic Calligraphy Set","Complete Arabic calligraphy starter kit with bamboo pens, ink, and practice sheets. Includes instruction booklet.","Complete Arabic calligraphy starter kit with bamboo pens, ink, and practice sheets. Includes instruction booklet.",D5W-7340,28,70,28,Yes,25,Stationery,"Office Supplies",arabic-calligraphy-set.webp,arabic-calligraphy-set.webp,Yes,No,"2026-01-08 13:36:10"
62,"Wooden Stacking Toys","Educational wooden stacking rings in vibrant colors. Non-toxic paint, smooth edges. Ages 1+.","Educational wooden stacking rings in vibrant colors. Non-toxic paint, smooth edges. Ages 1+.",JKB-1577,14,40,14,Yes,40,Kids,Toys,wooden-stacking-toys.webp,wooden-stacking-toys.webp,Yes,No,"2026-01-08 13:36:10"
63,"Organic Cotton Baby Blanket","100% GOTS certified organic cotton blanket. Hypoallergenic, soft, and breathable. Machine washable.","100% GOTS certified organic cotton blanket. Hypoallergenic, soft, and breathable. Machine washable.",1SD-6071,22,,22,No,35,Kids,"Kids' Clothing",organic-cotton-baby-blanket.webp,organic-cotton-baby-blanket.webp,Yes,No,"2026-01-08 13:36:10"
64,"Kids Adventure Backpack","Durable kids backpack with fun design. Padded straps, multiple pockets, water-resistant material.","Durable kids backpack with fun design. Padded straps, multiple pockets, water-resistant material.",KPK-5061,18,,18,No,45,Kids,"Kids' Clothing",kids-adventure-backpack.webp,kids-adventure-backpack.webp,Yes,No,"2026-01-08 13:36:10"
65,"Kids Learning Tablet","Interactive learning tablet with Arabic and English content. Educational games, songs, and activities. Ages 3+.","Interactive learning tablet with Arabic and English content. Educational games, songs, and activities. Ages 3+.",BFW-9471,32,,32,No,30,Kids,Toys,kids-learning-tablet.webp,kids-learning-tablet.webp,Yes,No,"2026-01-08 13:36:10"
66,"Metropolis-D.C. Department Store 718pcs","The Metropolis Department Store Building Set is a beautifully detailed construction kit from the Metropolis series. Kids can build a complete shopping store and even combine it with other sets like th...","The Metropolis Department Store Building Set is a beautifully detailed construction kit from the Metropolis series. Kids can build a complete shopping store and even combine it with other sets like the Crowne Hotel to create a full city scene. Made from high-quality, durable ABS plastic, this set inspires creativity and imaginative play.

Features:

725 building pieces with 7 figures

Innovative figures with rotating and moving parts

Can be combined with other Metropolis sets

Compatible with building sets from other major brands

Made from high-quality, safe, and durable ABS plastic

Includes easy-to-follow assembly instructions",M38-B1268,39,,39,No,48,"Building Blocks","City & Buildings",metropolis-dc-department-store-718pcs.webp,"metropolis-dc-department-store-718pcs.webp, metropolis-dc-department-store-718pcs-2.webp, metropolis-dc-department-store-718pcs-3.webp, metropolis-dc-department-store-718pcs-4.webp",Yes,No,"2026-01-08 13:36:10"
67,"Metropolis-Delivery Truck 269pcs","The Metropolis Delivery Truck Building Set lets kids build a realistic delivery truck to add action and detail to their Metropolis city. With 269 pieces, this set encourages creativity, problem-solvin...","The Metropolis Delivery Truck Building Set lets kids build a realistic delivery truck to add action and detail to their Metropolis city. With 269 pieces, this set encourages creativity, problem-solving, and imaginative play. It is made from high-quality ABS plastic and is compatible with building sets from other major brands.

Features:

269 building pieces

Realistic delivery truck design from the Metropolis series

Encourages creativity and building skills

Compatible with building sets from other manufacturers

Made from high-quality, safe ABS plastic

Includes easy-to-follow assembly instructions",M38-B1289,18,,18,No,48,"Building Blocks",Vehicles,metropolis-delivery-truck-269pcs.webp,"metropolis-delivery-truck-269pcs.webp, metropolis-delivery-truck-269pcs-2.webp",Yes,No,"2026-01-08 13:36:10"
68,"Metropolis-Rescue Vehicle(Pull back) 272pcs","The Metropolis Rescue Vehicle Pull-Back Building Set offers kids a fun and interactive building experience. With a pull-back motor feature, the vehicle moves forward after being pulled back, adding ex...","The Metropolis Rescue Vehicle Pull-Back Building Set offers kids a fun and interactive building experience. With a pull-back motor feature, the vehicle moves forward after being pulled back, adding extra excitement to imaginative rescue play. Made from high-quality ABS plastic, this set is compatible with other major building brands.

Features:

272 building pieces

Realistic rescue vehicle design from the Metropolis series

Pull-back function for added play value

Encourages creativity, focus, and building skills

Compatible with building sets from other manufacturers

Made from high-quality, safe ABS plastic

Includes easy-to-follow assembly instructions",M38-B1288,18,,18,No,48,"Building Blocks",Vehicles,metropolis-rescue-vehiclepull-back-272pcs.webp,"metropolis-rescue-vehiclepull-back-272pcs.webp, metropolis-rescue-vehiclepull-back-272pcs-2.webp, metropolis-rescue-vehiclepull-back-272pcs-3.webp, metropolis-rescue-vehiclepull-back-272pcs-4.webp, metropolis-rescue-vehiclepull-back-272pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
69,"Metropolis-Ferris Wheel 504pcs","Experience the funfair buzz with the Metropolis Ferris Wheel, a 504-piece set that brings life and creativity to any cityscape. The set includes a towering Ferris wheel with rotating carriages, articu...","Experience the funfair buzz with the Metropolis Ferris Wheel, a 504-piece set that brings life and creativity to any cityscape. The set includes a towering Ferris wheel with rotating carriages, articulated mini-figures, and vibrant decorative accents to enhance creativity, spatial reasoning, and storytelling. Made from durable, non-toxic ABS plastic, it is compatible with other Metropolis sets and major brick brands.

Features:

504 high-quality building pieces

Oversized Ferris wheel with rotating gondolas

3 articulated mini-figures (riders and operator)

Illustrated full-colour instruction manual

Enhances creativity, spatial reasoning, and imaginative play

Made from durable, non-toxic ABS plastic

Suitable for children 6 years and above

Compatible with all major brick brands",M38-B1286,22,,22,No,48,"Building Blocks","City & Buildings",metropolis-ferris-wheel-504pcs.webp,"metropolis-ferris-wheel-504pcs.webp, metropolis-ferris-wheel-504pcs-2.webp, metropolis-ferris-wheel-504pcs-3.webp, metropolis-ferris-wheel-504pcs-4.webp, metropolis-ferris-wheel-504pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
70,"Metropolis-Roller Coaster 448pcs","Step into the world of fun with the Metropolis Roller Coaster Building Set, a 448-piece amusement park kit. Includes a mini Ferris wheel, ticket booth, ride platforms, and articulated mini-figures, en...","Step into the world of fun with the Metropolis Roller Coaster Building Set, a 448-piece amusement park kit. Includes a mini Ferris wheel, ticket booth, ride platforms, and articulated mini-figures, encouraging storytelling, fine motor skills, and creative urban design. Made from durable, non-toxic ABS plastic, compatible with other Metropolis and major brick brands.

Features:

448 high-quality building bricks

Mini Ferris wheel with rotating platform

Ticket booth and ride platform

3 articulated mini-figures (visitors and ride operator)

Illustrated full-colour instruction manual

Enhances creativity, fine motor skills, and imaginative play

Made from durable, non-toxic ABS plastic

Suitable for children 6 years and above

Compatible with all major brick brands",M38-B1285,22,39,22,Yes,48,"Building Blocks","City & Buildings",metropolis-roller-coaster-448pcs.webp,"metropolis-roller-coaster-448pcs.webp, metropolis-roller-coaster-448pcs-2.webp, metropolis-roller-coaster-448pcs-3.webp, metropolis-roller-coaster-448pcs-4.webp, metropolis-roller-coaster-448pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
